Date,Open,High,Low,Close,Adj Close,Volume
2023-08-01,317.540009,324.140015,314.660004,322.709991,322.709991,22817900
2023-08-02,318.000000,318.390015,310.649994,314.309998,314.309998,20461100
2023-08-03,309.929993,315.950012,309.929993,313.190002,313.190002,15180200
2023-08-04,314.959991,318.410004,310.200012,310.730011,310.730011,17600200
2023-08-07,313.230011,317.070007,310.459991,316.559998,316.559998,16236500
2023-08-08,314.399994,317.890015,310.109985,312.640015,312.640015,15183500
2023-08-09,312.880005,313.630005,302.850006,305.209991,305.209991,19955800
2023-08-10,307.940002,312.339996,303.869995,305.739990,305.739990,14358900
2023-08-11,302.570007,304.720001,300.359985,301.640015,301.640015,13967800
2023-08-14,300.980011,306.209991,298.250000,306.190002,306.190002,15641900
2023-08-15,306.140015,307.230011,300.029999,301.950012,301.950012,11623600
2023-08-16,300.200012,301.079987,294.279999,294.290009,294.290009,18547700
2023-08-17,293.049988,296.049988,284.950012,285.089996,285.089996,23950100
2023-08-18,279.029999,285.690002,274.380005,283.250000,283.250000,34061200
2023-08-21,283.450012,290.500000,281.850006,289.899994,289.899994,20181500
2023-08-22,292.549988,292.899994,286.750000,287.600006,287.600006,12999900
2023-08-23,288.500000,297.399994,287.670013,294.239990,294.239990,18287000
2023-08-24,298.500000,299.459991,286.640015,286.750000,286.750000,18360900
2023-08-25,286.130005,288.390015,276.029999,285.500000,285.500000,23701400
2023-08-28,288.000000,291.450012,285.799988,290.260010,290.260010,14239300
2023-08-29,288.579987,299.149994,288.179993,297.989990,297.989990,20844500
2023-08-30,297.170013,298.290009,293.429993,295.100006,295.100006,17717000
2023-08-31,295.799988,301.100006,295.660004,295.890015,295.890015,17229900
